repository_id,repository_name,full_name,repository_url,description,primary_language,created_at,updated_at,pushed_at,size_kb,stars_count,watchers_count,forks_count,open_issues_count,default_branch,is_fork,is_archived,is_disabled,visibility,repository_age_days,days_since_update,days_since_last_push,created_year,created_month,updated_year,size_mb,repository_type,has_description,activity_status,popularity_score,analysis_as_of_date
1355657419,HR-Analytics-Employee-Attrition,Sakshi160244/HR-Analytics-Employee-Attrition,https://github.com/Sakshi160244/HR-Analytics-Employee-Attrition,No Description,Python,2026-09-03 07:32:33+00:00,2026-09-03 09:49:11+00:00,2026-09-03 09:49:06+00:00,1201,0,0,0,0,main,False,False,False,public,11,11,11,2026,September,2026,1.17,Original,No,Active,0,2026-09-15T00:00:00+00:00
1353393779,E-Commerce-Sales-Analysis-Dashboard,Sakshi160244/E-Commerce-Sales-Analysis-Dashboard,https://github.com/Sakshi160244/E-Commerce-Sales-Analysis-Dashboard,No Description,Python,2026-09-01 09:41:31+00:00,2026-09-01 10:40:54+00:00,2026-09-01 10:37:33+00:00,1156,0,0,0,0,main,False,False,False,public,13,13,13,2026,September,2026,1.13,Original,No,Active,0,2026-09-15T00:00:00+00:00
1339402119,E-Commerce-Sales-Data-Analysis,Sakshi160244/E-Commerce-Sales-Data-Analysis,https://github.com/Sakshi160244/E-Commerce-Sales-Data-Analysis,"E-commerce sales data analysis project using Python, SQL, NumPy, Pandas and Matplotlib.",Python,2026-08-19 10:00:33+00:00,2026-08-19 10:26:55+00:00,2026-08-19 10:24:22+00:00,29,0,0,0,0,main,False,False,False,public,26,26,26,2026,August,2026,0.03,Original,Yes,Active,0,2026-09-15T00:00:00+00:00
1290770586,Sakshi160244,Sakshi160244/Sakshi160244,https://github.com/Sakshi160244/Sakshi160244,"Aspiring Data Analyst skilled in SQL, Python, Excel, Power BI, NumPy, Pandas and Data Visualization.",Not Specified,2026-07-06 08:17:01+00:00,2026-08-12 10:22:02+00:00,2026-07-08 09:49:17+00:00,1249,0,0,0,0,main,False,False,False,public,70,33,68,2026,July,2026,1.22,Original,Yes,Active,0,2026-09-15T00:00:00+00:00
1331874837,sakship_sql_analytics_practice.py,Sakshi160244/sakship_sql_analytics_practice.py,https://github.com/Sakshi160244/sakship_sql_analytics_practice.py,"SQL and Python practice for Data Analytics covering queries, joins, subqueries, CTEs, CASE statements and window functions.",Python,2026-08-12 09:59:38+00:00,2026-08-12 10:16:27+00:00,2026-08-12 10:16:23+00:00,20,0,0,0,0,main,False,False,False,public,33,33,33,2026,August,2026,0.02,Original,Yes,Active,0,2026-09-15T00:00:00+00:00
1293318534,python,Sakshi160244/python,https://github.com/Sakshi160244/python,No Description,Python,2026-07-08 08:41:17+00:00,2026-07-08 09:02:11+00:00,2026-07-08 09:01:54+00:00,50,0,0,0,0,main,False,False,False,public,68,68,68,2026,July,2026,0.05,Original,No,Active,0,2026-09-15T00:00:00+00:00
1292028821,Employee-Attendance-Management-System-,Sakshi160244/Employee-Attendance-Management-System-,https://github.com/Sakshi160244/Employee-Attendance-Management-System-,"Employee Attendance Management System is a Python project that records employees' check-in and check-out times to determine attendance status such as Present, Absent, Overtime, Half Day, or Short Day. It processes multiple records, counts each attendance type, and displays a summary report using loops and conditional statements.",Python,2026-07-07 08:47:13+00:00,2026-07-07 09:52:24+00:00,2026-07-07 08:57:08+00:00,6,0,0,0,0,main,False,False,False,public,69,69,69,2026,July,2026,0.01,Original,Yes,Active,0,2026-09-15T00:00:00+00:00
1292104220,python-grading-system,Sakshi160244/python-grading-system,https://github.com/Sakshi160244/python-grading-system,"A Python-based Student Grade Calculator that evaluates marks and assigns grades using predefined criteria. The application validates user input, handles invalid entries with exception handling, and demonstrates functions, conditional statements, input validation, and error handling.",Python,2026-07-07 09:47:06+00:00,2026-07-07 09:49:24+00:00,2026-07-07 09:49:20+00:00,4,0,0,0,0,main,False,False,False,public,69,69,69,2026,July,2026,0.0,Original,Yes,Active,0,2026-09-15T00:00:00+00:00
1292098661,python-calculator,Sakshi160244/python-calculator,https://github.com/Sakshi160244/python-calculator,"A Python-based calculator that performs addition, subtraction, multiplication, and division using functions. The application includes exception handling to manage invalid inputs and division by zero, demonstrating functions, conditional statements, user input validation, and error handling.",Python,2026-07-07 09:43:11+00:00,2026-07-07 09:44:20+00:00,2026-07-07 09:44:15+00:00,4,0,0,0,0,main,False,False,False,public,69,69,69,2026,July,2026,0.0,Original,Yes,Active,0,2026-09-15T00:00:00+00:00
1292084299,age-category-classifier,Sakshi160244/age-category-classifier,https://github.com/Sakshi160244/age-category-classifier,"A Python-based Age Category Classifier that categorizes individuals into different age groups such as Child, Teenage, Youngster, Parentage, and Old Age. The program also counts the total number of teenagers while demonstrating loops, conditional statements, counters, and user input handling.",Python,2026-07-07 09:32:43+00:00,2026-07-07 09:38:31+00:00,2026-07-07 09:38:26+00:00,4,0,0,0,0,main,False,False,False,public,69,69,69,2026,July,2026,0.0,Original,Yes,Active,0,2026-09-15T00:00:00+00:00
1292080212,employee-attendance-tracker,Sakshi160244/employee-attendance-tracker,https://github.com/Sakshi160244/employee-attendance-tracker,"A Python-based Employee Attendance Tracker that processes attendance records using nested loops. The system classifies employees as Present, Absent, Overtime, Half Day, or Short Day, maintains individual and overall attendance counts, and generates summary reports using Python control structures.",Python,2026-07-07 09:28:58+00:00,2026-07-07 09:30:30+00:00,2026-07-07 09:30:21+00:00,4,0,0,0,0,main,False,False,False,public,69,69,69,2026,July,2026,0.0,Original,Yes,Active,0,2026-09-15T00:00:00+00:00
